id,name,description,date_published,url
1,"Digital Rights, Privacy and Security","This course is available on the LLM (extended part-time), LLM (full-time), MSc in Regulation ... a detrimental impact on established rights and values, such as autonomy, privacy and data protection. As a result, legal frameworks to regulate personal ...",2022-07-13T04:56:00.0000000Z,https://www.lse.ac.uk/resources/calendar2022-2023/courseGuides/LL/2022_LL4S4.htm
2,Data Privacy and Cybersecurity: 2023 Trends,"More high-profile cyber incidents, especially attacks on the software supply ... the primary federal agency regulating consumer privacy and data security. It derives its authority to protect ...",2024-02-01T00:00:00.0000000Z,https://www.reuters.com/practical-law-the-journal/transactional/data-privacy-cybersecurity-2023-trends-2024-02-01/
3,How ransomware attacks at Wichita hospitals threaten your privacy and health,"While ransomware attacks are common across many industries, they pose a particular danger in health care. Patients’ privacy and lives ... enforcement and outside security consultants, most ...",2024-01-26T12:13:00.0000000Z,https://www.msn.com/en-us/health/other/how-ransomware-attacks-at-wichita-hospitals-threaten-your-privacy-and-health/ar-BB1hiIHe
4,The BR Privacy & Security Download: February 2024,"New Jersey has become the fourteenth state to enact a comprehensive privacy ... a ransomware attack where a cyber-attacker accessed the data of approximately 250,000 New Yorkers, including names, addresses, phone numbers, social security numbers, and ...",2024-02-08T23:59:00.0000000Z,https://www.jdsupra.com/legalnews/the-br-privacy-security-download-4358447/
5,Italian Data Protection Watchdog Accuses ChatGPT of Privacy Violations,Italy's data watchdog accuses ChatGPT of violating EU privacy laws by collecting sensitive data and exposing children to inappropriate content.,2024-01-30T10:48:00.0000000Z,https://thehackernews.com/2024/01/italian-data-protection-watchdog.html
6,Online Cybersecurity Degree,"In later years, these programs explore more advanced courses in topics such as network security, digital forensics ... cyber threats and protect the privacy of their data. Degree holders should ...",2013-03-18T16:19:00.0000000Z,https://www.usnews.com/education/online-education/cyber-security-bachelors-degree
7,Best VPN with antivirus of 2024,"Both VPNs and antivirus solutions can help to protect your privacy and data, but they do so in quite different ways, to cover the multiple layers of your overall security posture. Antivirus ...",2024-01-25T15:38:00.0000000Z,https://www.techradar.com/vpn/vpn-and-antivirus
8,"Hacking, Security & Privacy News - Page 1","If you were worried about your webcam being a privacy threat ... According to a new report at Cyber Security Connect, a ransomware group called Ransomed.vc claims that it has compromised all ...",2023-09-27T05:27:00.0000000Z,https://www.tweaktown.com/news/hacking_and_security/index.html
9,Nucleus Security Raises $43 Million Series B Funding to Lead Innovation in Enterprise Risk-Based Vulnerability Management,"In-Q-Tel (IQT), the not-for-profit strategic investor for the U.S. national security community and its allies, joined the Series B round as a new investor and partner. Through this partnership, Nucleus will ensure that its capabilities evolve to serve the needs of government agencies responsible for national security and critical infrastructure.",2024-02-12T20:53:00.0000000Z,https://www.tmcnet.com/usubmit/2024/02/12/9961035.htm
10,LMG Security and Surefire Cyber announce partnership,"Customers of both organizations will have access to industry-leading proactive cybersecurity services and solutions to prevent cyber threats, as well as tech-enabled incident",2024-02-07T22:45:00.0000000Z,https://www.securityinfowatch.com/cybersecurity/press-release/53095922/lmg-security-and-surefire-cyber-announce-partnership
11,Email attacks on business tripled in 2023 — and ChatGPT was often the culprit,"A new report from Acronis based on data collected from more than a million unique endpoints across 15 countries, found AI-powered phishing affected more than 90% of organizations last year, and that AI helped email attacks grow by 222% between the second half of 2023, and today.",2024-02-08T16:30:00.0000000Z,https://www.yahoo.com/tech/email-attacks-business-tripled-2023-163027589.html
12,Badge Innovation Cracks the Code in Security by Removing PII and Biometric Storage as Attack Vector for Data Breaches,"Ray Rothrock, Badge advisor, venture capitalist, former CEO of Red Seal, and cyber expert commented, ""The problem of storing credentials has vexed the security community for decades. In a sea of ...",2024-01-17T09:00:00.0000000Z,https://finance.yahoo.com/news/badge-innovation-cracks-code-security-140000383.html
13,"Hong Kong privacy watchdog calls for more data security training, says it logged 50% surge in breaches and hacking cases in 2023",Hong Kong’s privacy watchdog has said it will prioritise education activities on data security after it logged ... the body was hit by a ransomware attack. Hong Kong tech hub Cyberport alerts ...,2024-02-04T21:03:00.0000000Z,https://www.scmp.com/news/hong-kong/society/article/3250181/hong-kong-privacy-watchdog-calls-more-data-security-training-says-it-logged-50-surge-breaches-and
14,Biden facing growing pressure on response to Iran over deadly drone attack,"President Joe Biden on Tuesday faced increasing pressure to forcefully respond to Sunday's drone attack by Iran-backed militants that killed three American service members and wounded at least 40 others,",2024-01-30T12:33:00.0000000Z,https://news.yahoo.com/gma/biden-facing-growing-pressure-response-123300849.html
