,title,description,URL,Date Published,Publisher,published_year,Published Month,Description
0,Top LLM vulnerabilities and how to mitigate the associated risk - Help Net Security,"<a href=""https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmhlbHBuZXRzZWN1cml0eS5jb20vMjAyNC8wMS8xMC9sbG0tdnVsbmVyYWJpbGl0aWVzLXJpc2sv0gEA?oc=5"" target=""_blank"">Top LLM vulnerabilities and how to mitigate the associated risk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Help Net Security</font>",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmhlbHBuZXRzZWN1cml0eS5jb20vMjAyNC8wMS8xMC9sbG0tdnVsbmVyYWJpbGl0aWVzLXJpc2sv0gEA?oc=5,2024-01-10 08:00:00+00:00,Help Net Security,2024.0,2024-01,
1,LLM Vulnerabilities: Understanding and Safeguarding Against Malicious Prompt Engineering Techniques - hackernoon.com,"<a href=""https://news.google.com/rss/articles/CBMieWh0dHBzOi8vaGFja2Vybm9vbi5jb20vbGxtLXZ1bG5lcmFiaWxpdGllcy11bmRlcnN0YW5kaW5nLWFuZC1zYWZlZ3VhcmRpbmctYWdhaW5zdC1tYWxpY2lvdXMtcHJvbXB0LWVuZ2luZWVyaW5nLXRlY2huaXF1ZXPSAQA?oc=5"" target=""_blank"">LLM Vulnerabilities: Understanding and Safeguarding Against Malicious Prompt Engineering Techniques</a>&nbsp;&nbsp;<font color=""#6f6f6f"">hackernoon.com</font>",https://news.google.com/rss/articles/CBMieWh0dHBzOi8vaGFja2Vybm9vbi5jb20vbGxtLXZ1bG5lcmFiaWxpdGllcy11bmRlcnN0YW5kaW5nLWFuZC1zYWZlZ3VhcmRpbmctYWdhaW5zdC1tYWxpY2lvdXMtcHJvbXB0LWVuZ2luZWVyaW5nLXRlY2huaXF1ZXPSAQA?oc=5,2023-12-14 08:00:00+00:00,hackernoon.com,2023.0,2023-12,
2,"LLMs Pose Major Security Risks, Serving As 'Attack Vectors' - C3 AI","<a href=""https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vYzMuYWkvYWktc2VjdXJpdHktdnVsbmVyYWJpbGl0aWVzL9IBAA?oc=5"" target=""_blank"">LLMs Pose Major Security Risks, Serving As 'Attack Vectors'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">C3 AI</font>",https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vYzMuYWkvYWktc2VjdXJpdHktdnVsbmVyYWJpbGl0aWVzL9IBAA?oc=5,2023-11-06 08:00:00+00:00,C3 AI,2023.0,2023-11,
3,Top 10 LLM Vulnerabilities - Unite.AI,"<a href=""https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vd3d3LnVuaXRlLmFpL3RvcC0xMC1sbG0tdnVsbmVyYWJpbGl0aWVzL9IBAA?oc=5"" target=""_blank"">Top 10 LLM Vulnerabilities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Unite.AI</font>",https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vd3d3LnVuaXRlLmFpL3RvcC0xMC1sbG0tdnVsbmVyYWJpbGl0aWVzL9IBAA?oc=5,2023-09-07 07:00:00+00:00,Unite.AI,2023.0,2023-09,
4,"GPU memory vulnerability could allow hackers to access LLM responses - and Apple, Qualcomm, and AMD products ... - ITPro","<a href=""https://news.google.com/rss/articles/CBMimAFodHRwczovL3d3dy5pdHByby5jb20vc2VjdXJpdHkvZ3B1LW1lbW9yeS12dWxuZXJhYmlsaXR5LWNvdWxkLWFsbG93LWhhY2tlcnMtdG8tYWNjZXNzLWxsbS1yZXNwb25zZXMtYW5kLWFwcGxlLXF1YWxjb21tLWFuZC1hbWQtcHJvZHVjdHMtd2VyZS1hbGwtYXQtcmlza9IBAA?oc=5"" target=""_blank"">GPU memory vulnerability could allow hackers to access LLM responses - and Apple, Qualcomm, and AMD products ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ITPro</font>",https://news.google.com/rss/articles/CBMimAFodHRwczovL3d3dy5pdHByby5jb20vc2VjdXJpdHkvZ3B1LW1lbW9yeS12dWxuZXJhYmlsaXR5LWNvdWxkLWFsbG93LWhhY2tlcnMtdG8tYWNjZXNzLWxsbS1yZXNwb25zZXMtYW5kLWFwcGxlLXF1YWxjb21tLWFuZC1hbWQtcHJvZHVjdHMtd2VyZS1hbGwtYXQtcmlza9IBAA?oc=5,2024-01-19 08:00:00+00:00,ITPro,2024.0,2024-01,
5,Researchers Discover New Vulnerability in Large Language Models - Carnegie Mellon University,"<a href=""https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmNtdS5lZHUvbmV3cy9zdG9yaWVzL2FyY2hpdmVzLzIwMjMvanVseS9yZXNlYXJjaGVycy1kaXNjb3Zlci1uZXctdnVsbmVyYWJpbGl0eS1pbi1sYXJnZS1sYW5ndWFnZS1tb2RlbHPSAQA?oc=5"" target=""_blank"">Researchers Discover New Vulnerability in Large Language Models</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Carnegie Mellon University</font>",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmNtdS5lZHUvbmV3cy9zdG9yaWVzL2FyY2hpdmVzLzIwMjMvanVseS9yZXNlYXJjaGVycy1kaXNjb3Zlci1uZXctdnVsbmVyYWJpbGl0eS1pbi1sYXJnZS1sYW5ndWFnZS1tb2RlbHPSAQA?oc=5,2023-07-28 07:00:00+00:00,Carnegie Mellon University,2023.0,2023-07,
6,Adversarial Simulation using Large Language Models (LLMs) | by Innovate Forge - Medium,"<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbWVkaXVtLmNvbS9ASW5ub3ZhdGVGb3JnZS9hZHZlcnNhcmlhbC1zaW11bGF0aW9uLXVzaW5nLWxhcmdlLWxhbmd1YWdlLW1vZGVscy1sbG1zLThlMGRhM2ZmZjNlZdIBAA?oc=5"" target=""_blank"">Adversarial Simulation using Large Language Models (LLMs) | by Innovate Forge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Medium</font>",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbWVkaXVtLmNvbS9ASW5ub3ZhdGVGb3JnZS9hZHZlcnNhcmlhbC1zaW11bGF0aW9uLXVzaW5nLWxhcmdlLWxhbmd1YWdlLW1vZGVscy1sbG1zLThlMGRhM2ZmZjNlZdIBAA?oc=5,2023-12-04 08:00:00+00:00,Medium,2023.0,2023-12,
7,OWASP lists 10 most critical large language model vulnerabilities - CSO Online,"<a href=""https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmNzb29ubGluZS5jb20vYXJ0aWNsZS81NzU0OTcvb3dhc3AtbGlzdHMtMTAtbW9zdC1jcml0aWNhbC1sYXJnZS1sYW5ndWFnZS1tb2RlbC12dWxuZXJhYmlsaXRpZXMuaHRtbNIBdGh0dHBzOi8vd3d3LmNzb29ubGluZS5jb20vYXJ0aWNsZS81NzU0OTcvb3dhc3AtbGlzdHMtMTAtbW9zdC1jcml0aWNhbC1sYXJnZS1sYW5ndWFnZS1tb2RlbC12dWxuZXJhYmlsaXRpZXMuaHRtbC9hbXAv?oc=5"" target=""_blank"">OWASP lists 10 most critical large language model vulnerabilities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CSO Online</font>",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmNzb29ubGluZS5jb20vYXJ0aWNsZS81NzU0OTcvb3dhc3AtbGlzdHMtMTAtbW9zdC1jcml0aWNhbC1sYXJnZS1sYW5ndWFnZS1tb2RlbC12dWxuZXJhYmlsaXRpZXMuaHRtbNIBdGh0dHBzOi8vd3d3LmNzb29ubGluZS5jb20vYXJ0aWNsZS81NzU0OTcvb3dhc3AtbGlzdHMtMTAtbW9zdC1jcml0aWNhbC1sYXJnZS1sYW5ndWFnZS1tb2RlbC12dWxuZXJhYmlsaXRpZXMuaHRtbC9hbXAv?oc=5,2023-06-06 07:00:00+00:00,CSO Online,2023.0,2023-06,
8,LeftoverLocals: Listening to LLM responses through leaked GPU local memory - Security Boulevard,"<a href=""https://news.google.com/rss/articles/CBMicGh0dHBzOi8vc2VjdXJpdHlib3VsZXZhcmQuY29tLzIwMjQvMDEvbGVmdG92ZXJsb2NhbHMtbGlzdGVuaW5nLXRvLWxsbS1yZXNwb25zZXMtdGhyb3VnaC1sZWFrZWQtZ3B1LWxvY2FsLW1lbW9yeS_SAXRodHRwczovL3NlY3VyaXR5Ym91bGV2YXJkLmNvbS8yMDI0LzAxL2xlZnRvdmVybG9jYWxzLWxpc3RlbmluZy10by1sbG0tcmVzcG9uc2VzLXRocm91Z2gtbGVha2VkLWdwdS1sb2NhbC1tZW1vcnkvYW1wLw?oc=5"" target=""_blank"">LeftoverLocals: Listening to LLM responses through leaked GPU local memory</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Security Boulevard</font>",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vc2VjdXJpdHlib3VsZXZhcmQuY29tLzIwMjQvMDEvbGVmdG92ZXJsb2NhbHMtbGlzdGVuaW5nLXRvLWxsbS1yZXNwb25zZXMtdGhyb3VnaC1sZWFrZWQtZ3B1LWxvY2FsLW1lbW9yeS_SAXRodHRwczovL3NlY3VyaXR5Ym91bGV2YXJkLmNvbS8yMDI0LzAxL2xlZnRvdmVybG9jYWxzLWxpc3RlbmluZy10by1sbG0tcmVzcG9uc2VzLXRocm91Z2gtbGVha2VkLWdwdS1sb2NhbC1tZW1vcnkvYW1wLw?oc=5,2024-01-16 08:00:00+00:00,Security Boulevard,2024.0,2024-01,
9,New LLM Tool Seeks and Remediates Vulnerabilities - Dark Reading,"<a href=""https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmRhcmtyZWFkaW5nLmNvbS92dWxuZXJhYmlsaXRpZXMtdGhyZWF0cy9uZXctdnVsbl9ncHQtbGxtLXNlZWtzLWFuZC1yZW1lZGlhdGVzLXZ1bG5lcmFiaWxpdGllc9IBAA?oc=5"" target=""_blank"">New LLM Tool Seeks and Remediates Vulnerabilities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dark Reading</font>",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmRhcmtyZWFkaW5nLmNvbS92dWxuZXJhYmlsaXRpZXMtdGhyZWF0cy9uZXctdnVsbl9ncHQtbGxtLXNlZWtzLWFuZC1yZW1lZGlhdGVzLXZ1bG5lcmFiaWxpdGllc9IBAA?oc=5,2023-08-09 07:00:00+00:00,Dark Reading,2023.0,2023-08,
10,Vigil: Open-source Security Scanner for LLM Models Like ChatGPT - CybersecurityNews,"<a href=""https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vY3liZXJzZWN1cml0eW5ld3MuY29tL3ZpZ2lsLW9wZW4tc291cmNlLXNlY3VyaXR5LXNjYW5uZXIv0gFFaHR0cHM6Ly9jeWJlcnNlY3VyaXR5bmV3cy5jb20vdmlnaWwtb3Blbi1zb3VyY2Utc2VjdXJpdHktc2Nhbm5lci9hbXAv?oc=5"" target=""_blank"">Vigil: Open-source Security Scanner for LLM Models Like ChatGPT</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CybersecurityNews</font>",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vY3liZXJzZWN1cml0eW5ld3MuY29tL3ZpZ2lsLW9wZW4tc291cmNlLXNlY3VyaXR5LXNjYW5uZXIv0gFFaHR0cHM6Ly9jeWJlcnNlY3VyaXR5bmV3cy5jb20vdmlnaWwtb3Blbi1zb3VyY2Utc2VjdXJpdHktc2Nhbm5lci9hbXAv?oc=5,2023-11-29 08:00:00+00:00,CybersecurityNews,2023.0,2023-11,
11,UK cyber agency warns of potentially fundamental flaw in AI technology - The Record from Recorded Future News,"<a href=""https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vdGhlcmVjb3JkLm1lZGlhL3Byb21wdC1pbmplY3Rpb24tdWstbmNzYy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS13YXJuaW5n0gEA?oc=5"" target=""_blank"">UK cyber agency warns of potentially fundamental flaw in AI technology</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Record from Recorded Future News</font>",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vdGhlcmVjb3JkLm1lZGlhL3Byb21wdC1pbmplY3Rpb24tdWstbmNzYy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS13YXJuaW5n0gEA?oc=5,2023-08-30 07:00:00+00:00,The Record from Recorded Future News,2023.0,2023-08,
12,"Prompt Injection Threat is Real, Will Turn LLMs into Monsters - Analytics India Magazine","<a href=""https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vYW5hbHl0aWNzaW5kaWFtYWcuY29tL3Byb21wdC1pbmplY3Rpb24tdGhyZWF0LWlzLXJlYWwtd2lsbC10dXJuLWxsbXMtaW50by1tb25zdGVycy_SAQA?oc=5"" target=""_blank"">Prompt Injection Threat is Real, Will Turn LLMs into Monsters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Analytics India Magazine</font>",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vYW5hbHl0aWNzaW5kaWFtYWcuY29tL3Byb21wdC1pbmplY3Rpb24tdGhyZWF0LWlzLXJlYWwtd2lsbC10dXJuLWxsbXMtaW50by1tb25zdGVycy_SAQA?oc=5,2023-12-08 08:00:00+00:00,Analytics India Magazine,2023.0,2023-12,
13,What the OWASP Top 10 for LLMs Means for the Future of AI Security - Infosecurity Magazine,"<a href=""https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmluZm9zZWN1cml0eS1tYWdhemluZS5jb20vbmV3cy1mZWF0dXJlcy9vd2FzcC10b3AtMTAtbGxtLW1lYW5zLWZ1dHVyZS1haS_SAQA?oc=5"" target=""_blank"">What the OWASP Top 10 for LLMs Means for the Future of AI Security</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Infosecurity Magazine</font>",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmluZm9zZWN1cml0eS1tYWdhemluZS5jb20vbmV3cy1mZWF0dXJlcy9vd2FzcC10b3AtMTAtbGxtLW1lYW5zLWZ1dHVyZS1haS_SAQA?oc=5,2023-08-08 07:00:00+00:00,Infosecurity Magazine,2023.0,2023-08,
14,OWASP Top 10 for LLM (Large Language Model) applications is out! - Security Affairs,"<a href=""https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vc2VjdXJpdHlhZmZhaXJzLmNvbS8xNDkxMjQvc2VjdXJpdHkvb3dhc3AtdG9wLTEwLWZvci1sbG0uaHRtbNIBSWh0dHBzOi8vc2VjdXJpdHlhZmZhaXJzLmNvbS8xNDkxMjQvc2VjdXJpdHkvb3dhc3AtdG9wLTEwLWZvci1sbG0uaHRtbD9hbXA?oc=5"" target=""_blank"">OWASP Top 10 for LLM (Large Language Model) applications is out!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Security Affairs</font>",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vc2VjdXJpdHlhZmZhaXJzLmNvbS8xNDkxMjQvc2VjdXJpdHkvb3dhc3AtdG9wLTEwLWZvci1sbG0uaHRtbNIBSWh0dHBzOi8vc2VjdXJpdHlhZmZhaXJzLmNvbS8xNDkxMjQvc2VjdXJpdHkvb3dhc3AtdG9wLTEwLWZvci1sbG0uaHRtbD9hbXA?oc=5,2023-08-03 07:00:00+00:00,Security Affairs,2023.0,2023-08,
15,We're in the OWASP-makes-list-of-security-bug-types phase with LLM chatbots - The Register,"<a href=""https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LnRoZXJlZ2lzdGVyLmNvbS8yMDIzLzA4LzAyL293YXNwX2xsbV9mbGF3cy_SATtodHRwczovL3d3dy50aGVyZWdpc3Rlci5jb20vQU1QLzIwMjMvMDgvMDIvb3dhc3BfbGxtX2ZsYXdzLw?oc=5"" target=""_blank"">We're in the OWASP-makes-list-of-security-bug-types phase with LLM chatbots</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Register</font>",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LnRoZXJlZ2lzdGVyLmNvbS8yMDIzLzA4LzAyL293YXNwX2xsbV9mbGF3cy_SATtodHRwczovL3d3dy50aGVyZWdpc3Rlci5jb20vQU1QLzIwMjMvMDgvMDIvb3dhc3BfbGxtX2ZsYXdzLw?oc=5,2023-08-02 07:00:00+00:00,The Register,2023.0,2023-08,
