plus.created,victim.state,victim.industry.name
2023-11-18T01:42:54.036Z,NY,Educational
2023-11-18T01:42:54.036Z,ME,Educational
2023-11-18T01:42:54.036Z,CA,Educational
2016-11-01T17:52:00Z,VA,Educational
2023-11-18T01:42:54.036Z,FL,Educational
2013-10-26T02:37:00Z,CO,Educational
2023-11-18T01:42:54.036Z,CT,Educational
2014-12-08T18:55:06Z,MO,Educational
2017-10-25T18:04:12.299Z,FL,Educational
2023-11-18T01:42:54.036Z,CA,Educational
2023-11-18T01:42:54.036Z,MI,Educational
2023-11-18T01:42:54.036Z,WA,Educational
2013-02-07T04:25:41Z,TN,Educational
2023-11-18T01:42:54.036Z,MO,Educational
2023-11-18T01:42:54.036Z,MI,Educational
2023-11-18T01:42:54.036Z,CA,Educational
2021-09-13T18:15:32.945Z,TX,Educational
2023-11-18T01:42:54.036Z,NJ,Educational
2023-11-18T01:42:54.036Z,NC,Educational
2023-11-18T01:42:54.036Z,TX,Educational
2013-03-14T21:31:46Z,LA,Educational
2023-11-18T01:42:54.036Z,SD,Educational
2014-06-27T18:00:00Z,MA,Educational
2023-11-18T01:42:54.036Z,KY,Educational
2016-06-28T17:11:00Z,CA,Educational
2018-09-28T02:26:08.577Z,OR,Educational
2014-09-22T18:48:00Z,NY,Educational
2013-09-10T20:13:32Z,VA,Educational
2020-08-26T21:59:20.515Z,CA,Educational
2014-05-16T20:08:00Z,NY,Educational
2023-11-18T01:42:54.036Z,CA,Educational
2013-03-13T17:20:29Z,AL,Educational
2023-11-18T01:42:54.036Z,MO,Educational
2023-11-18T01:42:54.036Z,NJ,Educational
2023-11-18T01:42:54.036Z,OK,Educational
2023-11-18T01:42:54.036Z,OK,Educational
2023-11-18T01:42:54.036Z,CA,Educational
2023-11-18T01:42:54.036Z,TX,Educational
2023-11-18T01:42:54.036Z,CT,Educational
2023-11-18T01:42:54.036Z,MN,Educational
2013-06-25T23:20:42Z,IN,Educational
2016-09-26T19:04:00Z,FL,Educational
2023-11-18T01:42:54.036Z,TX,Educational
2020-10-15T00:47:44.413Z,ES-MD,Educational
2023-11-18T01:42:54.036Z,CA,Educational
2014-08-22T18:32:00Z,NM,Educational
2023-11-18T01:42:54.036Z,KS,Educational
2013-10-07T10:27:00Z,NY,Educational
2023-11-18T01:42:54.036Z,NC,Educational
2014-03-22T17:28:00Z,ND,Educational
2023-11-18T01:42:54.036Z,NY,Educational
2023-11-18T01:42:54.036Z,NY,Educational
2023-11-18T01:42:54.036Z,NY,Educational
2019-11-21T21:21:32.768Z,US-NY,Educational
2016-10-06T18:59:00Z,CO,Educational
2013-09-29T22:09:00Z,CA,Educational
2014-11-11T14:48:00Z,NY,Educational
2014-01-05T21:41:00Z,CT,Educational
2016-10-06T18:49:00Z,TX,Educational
2014-02-17T04:52:15Z,FL,Educational
2023-11-18T01:42:54.036Z,PA,Educational
2023-11-18T01:42:54.036Z,ID,Educational
2023-11-18T01:42:54.036Z,TN,Educational
2013-02-08T05:16:05Z,MT,Educational
