plus.created,victim.state,victim.industry.name
2019-09-10T20:01:13.301Z,US-WV,Public
2014-05-29T20:01:01Z,LA,Public
2023-11-18T01:42:54.036Z,NY,Educational
2013-04-11T19:06:40Z,CA,Healthcare
2014-11-24T16:59:31Z,VA,Public
2023-11-18T01:42:54.036Z,ME,Educational
2023-11-18T01:42:54.036Z,CA,Educational
2013-02-07T19:27:52Z,MA,Finance
2013-06-25T23:04:52Z,FL,Healthcare
2014-07-08T14:11:00Z,FL,Manufacturing
2019-08-22T20:23:21.118Z,US-VA,Finance
2016-11-01T17:52:00Z,VA,Educational
2014-11-24T16:59:31Z,OR,Public
2015-03-07T23:00:54Z,PA,Healthcare
2023-11-18T01:42:54.036Z,FL,Educational
2013-04-05T21:43:47Z,CA,Public
2017-09-28T23:50:48.027Z,Missouri ,Finance
2018-07-12T21:40:20.215Z,TX,Public
2013-04-12T22:29:56Z,OH,Healthcare
2021-08-25T20:14:06.926Z,WA,Other Services
2013-09-10T20:13:32Z,MI,Healthcare
2013-04-12T22:29:56Z,TX,Healthcare
2020-11-12T04:27:43.785Z,CA-ON,Administrative
2016-09-19T17:16:00Z,GA,Public
2016-09-02T17:01:00Z,VA,Finance
2016-09-09T19:01:00Z,NJ,Retail
2017-11-10T01:43:49.836Z,MA,Healthcare
2013-10-26T02:37:00Z,CO,Educational
2015-07-24T14:01:00Z,FL,Healthcare
2013-09-10T20:13:32Z,HI,Accommodation
2013-04-12T22:29:56Z,LA,Professional
2017-11-08T20:05:47.130Z,KY,Finance
2013-04-12T22:29:56Z,IN,Healthcare
2019-09-19T19:44:33.245Z,US-CA,Information
2014-07-30T19:04:07Z,MO,Public
2023-11-18T01:42:54.036Z,CT,Educational
2014-05-29T20:01:01Z,MS,Public
2016-09-06T19:16:00Z,MA,Healthcare
2013-02-19T16:13:29Z,DC,Public
2021-09-13T18:41:37.298Z,CA,Manufacturing
2013-08-22T21:15:19Z,CA,Retail
2016-10-10T14:51:00Z,MN,Healthcare
2016-09-09T17:42:00Z,WA,Healthcare
2017-11-30T11:57:35.584Z,CA,Healthcare
2013-04-12T22:29:56Z,TN,Healthcare
2016-02-02T17:22:00Z,CA,Healthcare
2014-12-08T18:55:06Z,MO,Educational
2013-12-27T17:19:00Z,NY,Information
2017-10-24T06:15:47.489Z,IL,Healthcare
2016-02-05T14:10:00Z,CA,Professional
2013-04-12T22:29:56Z,KS,Healthcare
2013-02-22T15:37:17Z,CA,Professional
2013-02-12T16:04:20Z,OR,Retail
2014-05-29T20:01:01Z,IL,Public
2013-02-11T18:12:07Z,CA,Professional
2014-02-17T04:35:21Z,ga,Public
2014-11-24T16:59:31Z,MN,Public
2015-03-06T23:54:41Z,PA,Healthcare
2016-09-15T19:59:00Z,IN,Retail
2013-11-11T18:07:00Z,FL,Retail
2017-10-25T18:04:12.299Z,FL,Educational
2013-04-12T22:29:56Z,IN,Healthcare
2021-02-19T02:12:24.991Z,MO,Healthcare
2014-02-21T04:07:15Z,FL,Public
2013-12-07T14:53:00Z,KY,Healthcare
2013-12-16T14:26:00Z,VA,Public
2014-01-12T17:20:00Z,PA,Accommodation
2013-10-15T16:10:00Z,PA,Healthcare
2023-11-18T01:42:54.036Z,CA,Educational
2016-08-09T01:27:00Z,FL,Healthcare
2017-10-17T22:38:58.383Z,CA,Public
2014-11-24T16:59:31Z,NE,Public
2016-12-15T16:32:00Z,WA,Information
2014-10-02T21:26:00Z,CA,Finance
2017-10-24T06:05:44.267Z,FL,Public
2013-02-17T01:17:09Z,CA,Public
2018-09-27T20:36:15.239Z,VA,Public
2016-01-13T15:02:00Z,OR,Public
2023-11-18T01:42:54.036Z,MI,Educational
2023-11-18T01:42:54.036Z,WA,Educational
2014-07-11T14:39:00Z,AK,Finance
2013-04-12T22:29:56Z,WV,Healthcare
2013-02-07T04:25:41Z,TN,Educational
2016-09-21T15:01:00Z,NY,Finance
2022-02-22T07:56:33.620Z,CA,Information
2013-02-20T18:39:03Z,FL,Healthcare
2014-11-24T16:59:31Z,NE,Public
2016-05-31T22:46:00Z,CA,Healthcare
2013-07-05T21:26:56Z,NC,Healthcare
2013-02-08T04:58:17Z,GA,Other Services
2021-09-02T18:13:23.814Z,CA,Information
2013-02-23T03:29:56Z,CA,Information
2013-10-26T03:34:00Z,FL,Healthcare
2023-11-18T01:42:54.036Z,MO,Educational
2014-09-04T16:45:00Z,FL,Utilities
2023-11-18T01:42:54.036Z,MI,Educational
2013-02-15T05:34:26Z,PA,Information
2014-02-21T04:07:15Z,CT,Public
2016-10-03T17:33:00Z,MO,Healthcare
2014-07-30T19:04:07Z,TX,Public
2016-02-01T14:06:00Z,CO,Retail
2013-11-09T19:34:00Z,FL,Public
2023-11-18T01:42:54.036Z,CA,Educational
2016-02-08T03:18:00Z,MN,Healthcare
2013-10-11T13:31:00Z,MD,Healthcare
2015-03-25T22:28:06Z,NC,Public
2014-02-21T04:07:15Z,PA,Public
2019-10-03T19:29:52.453Z,US-WI,Manufacturing
2017-10-26T14:33:48Z,GA,Public
2015-07-17T00:54:50Z,KY,Healthcare
2016-08-05T15:26:00Z,CA,Healthcare
2016-02-02T16:17:00Z,NY,Healthcare
2014-11-12T14:17:00Z,FL,Retail
2021-09-13T18:15:32.945Z,TX,Educational
2013-06-04T17:55:09Z,AL,Public
2013-02-14T20:07:48Z,VA,Healthcare
2023-11-18T01:42:54.036Z,NJ,Educational
2016-09-26T15:27:00Z,NJ,Retail
2016-09-20T14:40:00Z,IL,Other Services
2014-07-30T19:04:08Z,MO,Public
2020-11-16T19:39:51.622Z,FL,Healthcare
2013-04-12T22:29:56Z,GA,Healthcare
2013-04-12T22:29:56Z,TN,Healthcare
2016-10-19T14:19:00Z,TX,Healthcare
2018-08-08T23:40:58.151Z,TX,Finance
2016-10-19T19:09:00Z,GA,Professional
2023-11-18T01:42:54.036Z,MA,Finance
2016-02-10T07:07:18Z,MI,Public
2016-02-10T07:07:18Z,NH,Public
2014-11-24T16:59:31Z,NE,Public
2014-11-24T16:59:31Z,FL,Public
2017-11-09T21:15:19.926Z,TN,Retail
2016-10-14T17:24:00Z,CO,Healthcare
2015-03-04T03:41:42Z,PA,Healthcare
2017-10-25T22:46:19.008Z,WI,Healthcare
2017-01-28T02:33:00Z,CA,Information
2023-11-18T01:42:54.036Z,NC,Educational
2017-10-17T19:04:27.529Z,VA,Retail
2015-07-23T17:09:27Z,TN,Healthcare
2015-07-24T14:01:00Z,NY,Retail
2013-12-11T20:13:34Z,MA,Public
2016-09-06T18:55:00Z,CA,Manufacturing
2014-05-29T20:01:01Z,OH,Public
2013-04-12T22:29:56Z,TX,Healthcare
