plus.created,victim.state,victim.industry.name
2013-02-07T19:27:52Z,MA,Finance
2019-08-22T20:23:21.118Z,US-VA,Finance
2017-09-28T23:50:48.027Z,Missouri ,Finance
2016-09-02T17:01:00Z,VA,Finance
2017-11-08T20:05:47.130Z,KY,Finance
2014-10-02T21:26:00Z,CA,Finance
2014-07-11T14:39:00Z,AK,Finance
2016-09-21T15:01:00Z,NY,Finance
2018-08-08T23:40:58.151Z,TX,Finance
2023-11-18T01:42:54.036Z,MA,Finance
2014-09-29T17:18:00Z,FL,Finance
2013-12-16T19:14:00Z,KY,Finance
2014-08-24T03:43:00Z,OH,Finance
2013-06-25T23:49:15Z,GA,Finance
2019-10-31T19:57:24.043Z,US-IL,Finance
2023-11-18T01:42:54.036Z,FL,Finance
2016-08-25T14:47:00Z,IL,Finance
2013-03-25T18:39:40Z,KS,Finance
2014-07-24T00:37:00Z,NY,Finance
2013-02-12T23:35:54Z,IL,Finance
2013-04-03T13:46:19Z,MA,Finance
2015-07-17T21:19:19Z,CA,Finance
2014-03-07T16:17:33Z,CA,Finance
2017-01-26T02:23:00Z,KY,Finance
2014-08-22T18:20:00Z,MA,Finance
2013-06-06T16:46:58Z,NE,Finance
2018-08-11T00:05:46.112Z,GU,Finance
2013-09-06T13:47:00Z,MO,Finance
2016-11-29T16:17:00Z,mn,Finance
2013-08-19T18:59:16Z,CA,Finance
2014-12-12T22:48:03Z,GA,Finance
2015-03-07T21:09:27Z,MA,Finance
2014-12-08T20:00:11Z,NY,Finance
2016-02-02T19:48:00Z,OR,Finance
2023-11-18T01:42:54.036Z,MO,Finance
2017-10-26T14:33:48Z,LA,Finance
2013-09-10T20:13:32Z,CA,Finance
2013-04-12T22:29:56Z,CT,Finance
2013-02-06T03:30:12Z,MA,Finance
2020-10-26T18:56:51.209Z,NY,Finance
2013-04-12T22:29:56Z,CA,Finance
2016-02-05T12:56:00Z,CA,Finance
2019-09-02T22:42:50.324Z,OR,Finance
2013-09-10T20:13:32Z,PA,Finance
2013-04-12T22:29:56Z,PA,Finance
2013-09-23T14:50:00Z,OR,Finance
2015-01-12T17:15:10Z,CA,Finance
2014-04-07T15:39:00Z,OR,Finance
2014-07-22T15:06:00Z,NY,Finance
2013-04-12T22:29:56Z,KY,Finance
2013-04-12T22:29:56Z,AZ,Finance
2013-02-08T19:13:16Z,NH,Finance
2013-02-22T20:07:26Z,NJ,Finance
2017-10-25T21:11:00.998Z,IL,Finance
2013-12-16T21:38:00Z,TN,Finance
2017-12-06T08:13:28.106Z,FL,Finance
2013-10-11T15:01:00Z,OH,Finance
2013-09-10T20:13:32Z,MA,Finance
2016-02-03T03:58:00Z,CA,Finance
2023-11-18T01:42:54.036Z,CA,Finance
2015-03-31T21:07:00Z,CA,Finance
2017-12-29T10:59:04.014Z,IN,Finance
2018-09-05T22:30:04.736Z,PA,Finance
2023-11-18T01:42:54.036Z,MN,Finance
2023-11-18T01:42:54.036Z,SC,Finance
2023-11-18T01:42:54.036Z,CT,Finance
2019-12-12T02:01:59.942Z,NH,Finance
2018-09-12T16:50:31.614Z,TX,Finance
2013-04-12T22:29:56Z,MO,Finance
2013-04-05T22:37:36Z,NY,Finance
2016-10-19T13:12:00Z,TX,Finance
2013-11-07T13:12:00Z,OH,Finance
2016-09-26T15:20:00Z,CA,Finance
2013-07-09T00:45:24Z,TN,Finance
2017-10-26T14:33:49Z,FL,Finance
2013-04-12T22:29:56Z,WI,Finance
2019-11-14T21:20:36.014Z,US-77,Finance
2014-02-07T20:48:05Z,GA,Finance
2023-11-18T01:42:54.036Z,TX,Finance
2014-07-22T15:00:00Z,DC,Finance
2023-11-18T01:42:54.036Z,WI,Finance
2013-04-12T22:29:56Z,MN,Finance
2013-07-05T18:40:02Z,WI,Finance
2016-10-27T23:17:00Z,CA,Finance
2016-02-03T00:31:00Z,MA,Finance
2013-04-12T22:29:56Z,NE,Finance
2017-11-09T20:13:37.673Z,MA,Finance
2015-03-09T21:23:28Z,FL,Finance
2023-11-18T01:42:54.036Z,TN,Finance
2014-08-03T22:15:00Z,CA,Finance
2013-04-12T22:29:56Z,FL,Finance
2021-02-19T21:08:31.004Z,CA,Finance
2013-02-12T17:42:40Z,CT,Finance
2013-04-12T22:29:56Z,IN,Finance
2014-08-25T16:48:00Z,OR,Finance
2016-10-07T15:11:00Z,OK,Finance
