plus.created,victim.state,victim.industry.name
2013-04-11T19:06:40Z,CA,Healthcare
2013-06-25T23:04:52Z,FL,Healthcare
2015-03-07T23:00:54Z,PA,Healthcare
2013-04-12T22:29:56Z,OH,Healthcare
2013-09-10T20:13:32Z,MI,Healthcare
2013-04-12T22:29:56Z,TX,Healthcare
2017-11-10T01:43:49.836Z,MA,Healthcare
2015-07-24T14:01:00Z,FL,Healthcare
2013-04-12T22:29:56Z,IN,Healthcare
2016-09-06T19:16:00Z,MA,Healthcare
2016-10-10T14:51:00Z,MN,Healthcare
2016-09-09T17:42:00Z,WA,Healthcare
2017-11-30T11:57:35.584Z,CA,Healthcare
2013-04-12T22:29:56Z,TN,Healthcare
2016-02-02T17:22:00Z,CA,Healthcare
2017-10-24T06:15:47.489Z,IL,Healthcare
2013-04-12T22:29:56Z,KS,Healthcare
2015-03-06T23:54:41Z,PA,Healthcare
2013-04-12T22:29:56Z,IN,Healthcare
2021-02-19T02:12:24.991Z,MO,Healthcare
2013-12-07T14:53:00Z,KY,Healthcare
2013-10-15T16:10:00Z,PA,Healthcare
2016-08-09T01:27:00Z,FL,Healthcare
2013-04-12T22:29:56Z,WV,Healthcare
2013-02-20T18:39:03Z,FL,Healthcare
2016-05-31T22:46:00Z,CA,Healthcare
2013-07-05T21:26:56Z,NC,Healthcare
2013-10-26T03:34:00Z,FL,Healthcare
2016-10-03T17:33:00Z,MO,Healthcare
2016-02-08T03:18:00Z,MN,Healthcare
2013-10-11T13:31:00Z,MD,Healthcare
2015-07-17T00:54:50Z,KY,Healthcare
2016-08-05T15:26:00Z,CA,Healthcare
2016-02-02T16:17:00Z,NY,Healthcare
2013-02-14T20:07:48Z,VA,Healthcare
2020-11-16T19:39:51.622Z,FL,Healthcare
2013-04-12T22:29:56Z,GA,Healthcare
2013-04-12T22:29:56Z,TN,Healthcare
2016-10-19T14:19:00Z,TX,Healthcare
2016-10-14T17:24:00Z,CO,Healthcare
2015-03-04T03:41:42Z,PA,Healthcare
2017-10-25T22:46:19.008Z,WI,Healthcare
2015-07-23T17:09:27Z,TN,Healthcare
2013-04-12T22:29:56Z,TX,Healthcare
2014-11-21T00:13:00Z,IL,Healthcare
2015-03-06T21:30:07Z,VA,Healthcare
2015-03-03T22:03:43Z,IL,Healthcare
2016-07-25T22:05:00Z,OR,Healthcare
2016-10-31T02:42:00Z,IL,Healthcare
2016-10-19T15:03:00Z,IA,Healthcare
2019-09-23T18:25:57.100Z,PA,Healthcare
2017-11-30T12:04:22.894Z,WA,Healthcare
2013-06-06T17:58:07Z,NY,Healthcare
2015-11-18T01:57:00Z,IL,Healthcare
2020-11-25T19:57:59.031Z,TX,Healthcare
2021-07-06T23:18:56.620Z,DC,Healthcare
2016-09-26T14:51:00Z,GA,Healthcare
2013-02-13T14:32:59Z,GA,Healthcare
2016-08-23T17:47:00Z,MS,Healthcare
2020-11-13T01:40:56.803Z,NJ,Healthcare
2013-04-12T22:29:56Z,CA,Healthcare
2014-11-20T23:15:00Z,CO,Healthcare
2013-04-12T22:29:56Z,NY,Healthcare
2016-08-17T23:50:00Z,OH,Healthcare
2014-01-05T20:00:00Z,NY,Healthcare
2014-11-21T06:46:00Z,LA,Healthcare
2015-03-04T03:27:49Z,CA,Healthcare
2013-04-12T22:29:56Z,NC,Healthcare
2013-09-09T14:28:00Z,FL,Healthcare
2014-04-07T14:36:00Z,AL,Healthcare
2016-08-29T20:00:00Z,IL,Healthcare
2014-03-04T16:56:13Z,IN,Healthcare
2022-02-16T04:53:16.397Z,FL,Healthcare
2015-07-16T22:35:22Z,CA,Healthcare
2020-05-29T19:22:03.622Z,WA,Healthcare
2017-10-18T19:31:10.754Z,Colorado,Healthcare
2017-10-26T00:24:08.441Z,OH,Healthcare
2021-08-30T18:14:10.118Z,AZ,Healthcare
2013-04-12T22:29:56Z,NE,Healthcare
2017-11-30T11:29:52.392Z,FL,Healthcare
2013-04-12T22:29:56Z,CT,Healthcare
2014-03-04T16:56:13Z,AB,Healthcare
2013-09-10T20:13:32Z,NC,Healthcare
2016-09-19T21:43:00Z,MD,Healthcare
2013-02-05T23:44:39Z,CA,Healthcare
2013-04-12T22:29:56Z,MA,Healthcare
2013-04-09T17:19:04Z,NY,Healthcare
2016-10-19T15:07:00Z,NY,Healthcare
2017-10-26T14:33:48Z,CA,Healthcare
2014-09-02T14:26:00Z,NJ,Healthcare
2013-12-03T23:25:00Z,IL,Healthcare
2016-02-08T15:42:00Z,MS,Healthcare
2016-08-24T15:50:00Z,FL,Healthcare
2016-02-04T22:11:00Z,MA,Healthcare
2013-04-12T22:29:56Z,FL,Healthcare
2015-03-27T00:34:14Z,IL,Healthcare
2020-10-09T02:20:36.107Z,MB,Healthcare
2016-10-30T20:36:00Z,NC,Healthcare
2016-10-10T13:18:00Z,AK,Healthcare
2020-05-29T01:05:18.602Z,CO,Healthcare
2016-11-01T13:55:00Z,NY,Healthcare
2013-02-06T19:26:47Z,CA,Healthcare
2016-09-20T16:48:00Z,GA,Healthcare
2020-09-08T23:47:47.126Z,TX,Healthcare
2016-08-17T23:45:00Z,OH,Healthcare
2013-04-12T22:29:56Z,IL,Healthcare
2016-09-07T22:17:00Z,TX,Healthcare
2013-06-06T18:16:08Z,FL,Healthcare
2018-08-07T22:01:53.755Z,IL,Healthcare
2013-09-24T18:24:00Z,MD,Healthcare
2015-07-22T22:37:28Z,UT,Healthcare
2015-07-24T14:01:00Z,FL,Healthcare
2014-11-21T06:24:00Z,NY,Healthcare
2013-04-12T22:29:56Z,IN,Healthcare
2013-04-12T22:29:56Z,MD,Healthcare
2013-03-25T13:45:19Z,GA,Healthcare
2013-04-12T22:29:56Z,NC,Healthcare
2013-11-08T21:08:00Z,OH,Healthcare
2013-04-12T22:29:56Z,TN,Healthcare
2015-07-30T22:47:26Z,NY,Healthcare
2016-07-25T17:34:00Z,CA,Healthcare
2017-12-18T02:07:32.226Z,TX,Healthcare
2013-04-12T22:29:56Z,LA,Healthcare
2022-02-24T06:58:02.960Z,OH,Healthcare
2013-02-22T03:26:46Z,NM,Healthcare
2013-04-12T22:29:56Z,MA,Healthcare
2013-02-05T03:50:56Z,CA,Healthcare
2017-10-24T07:07:35.951Z,FL,Healthcare
2013-04-12T22:29:56Z,IL,Healthcare
2020-11-13T00:47:33.408Z,CO,Healthcare
2015-03-09T22:15:49Z,OH,Healthcare
2018-07-23T17:46:37.684Z,TX,Healthcare
2013-09-28T18:18:00Z,MD,Healthcare
2013-02-13T14:46:45Z,AZ,Healthcare
2013-04-12T22:29:56Z,TX,Healthcare
2017-12-17T11:21:40.641Z,NJ,Healthcare
2015-07-31T00:31:27Z,CO,Healthcare
2015-03-08T07:48:34Z,IN,Healthcare
2016-09-01T14:54:00Z,NC,Healthcare
2015-07-24T14:01:00Z,UT,Healthcare
2015-07-30T23:53:39Z,NC,Healthcare
2015-03-03T21:34:41Z,CA,Healthcare
2017-12-29T10:51:08.567Z,IL,Healthcare
2014-09-12T13:22:00Z,PA,Healthcare
2013-11-15T22:37:00Z,NY,Healthcare
2019-12-11T01:37:28.180Z,US-VA,Healthcare
2016-08-31T15:11:00Z,CA,Healthcare
2014-09-02T14:02:00Z,HI,Healthcare
2015-03-11T23:05:33Z,IL,Healthcare
2013-04-12T22:29:56Z,PA,Healthcare
2015-03-27T00:10:53Z,NJ,Healthcare
2017-12-18T03:12:28.285Z,IN,Healthcare
2013-04-12T22:29:56Z,PA,Healthcare
2015-03-26T23:30:03Z,OH,Healthcare
2017-12-18T06:36:13.839Z,TX,Healthcare
2016-09-09T18:53:00Z,WA,Healthcare
2017-12-16T10:52:18.260Z,NY,Healthcare
2013-04-12T22:29:56Z,CA,Healthcare
2013-04-12T22:29:56Z,OK,Healthcare
2015-07-23T16:55:12Z,MI,Healthcare
2013-04-12T22:29:56Z,CA,Healthcare
2013-11-08T22:27:00Z,CA,Healthcare
2014-06-01T07:46:00Z,MI,Healthcare
2015-03-06T20:55:56Z,FL,Healthcare
2013-04-12T22:29:56Z,IN,Healthcare
2018-11-28T00:11:52Z,WI,Healthcare
2013-09-03T14:48:00Z,GA,Healthcare
2013-06-06T00:54:23Z,IN,Healthcare
2019-08-27T22:06:39.365Z,WA,Healthcare
2016-07-08T00:37:00Z,IL,Healthcare
2013-04-12T22:29:56Z,IN,Healthcare
2013-12-12T13:32:00Z,CA,Healthcare
2018-01-01T13:22:44.373Z,CA,Healthcare
2015-07-30T22:59:14Z,KY,Healthcare
2019-07-31T23:25:01.244Z,US-MA,Healthcare
2016-10-20T13:02:00Z,SC,Healthcare
2017-12-19T10:02:59.105Z,SC,Healthcare
2016-10-31T04:11:00Z,TX,Healthcare
2015-03-09T22:28:03Z,PA,Healthcare
2019-12-11T21:35:35.638Z,NY,Healthcare
2013-11-15T18:57:00Z,NJ,Healthcare
2015-03-01T00:22:00Z,TX,Healthcare
2017-10-04T23:11:05.147Z,New York,Healthcare
2014-03-13T16:23:00Z,PA,Healthcare
2017-10-24T07:05:27.365Z,FL,Healthcare
2013-11-08T21:13:00Z,IN,Healthcare
2013-08-22T16:23:20Z,CA,Healthcare
2017-12-17T11:35:15.014Z,IL,Healthcare
2018-01-01T12:56:16.967Z,CA,Healthcare
2019-11-13T00:51:22.888Z,TX,Healthcare
2015-07-17T17:56:32Z,CA,Healthcare
2015-12-28T18:22:00Z,NJ,Healthcare
2013-04-12T22:29:56Z,TX,Healthcare
2013-04-12T22:29:56Z,NY,Healthcare
2016-02-07T22:25:00Z,CA,Healthcare
2019-12-17T21:41:58.840Z,US-MN,Healthcare
2016-07-07T23:40:00Z,CA,Healthcare
2019-07-31T20:51:51.575Z,US-IL,Healthcare
2018-08-03T18:46:00.771Z,WA,Healthcare
2021-09-08T18:22:46.779Z,TN,Healthcare
2013-04-12T22:29:56Z,NY,Healthcare
2014-11-20T14:02:00Z,GA,Healthcare
2013-04-04T23:54:20Z,MD,Healthcare
2017-12-19T05:47:40.166Z,TX,Healthcare
2016-08-18T16:37:00Z,FL,Healthcare
2015-07-31T19:23:28Z,AR,Healthcare
2017-12-27T11:16:53.815Z,TX,Healthcare
2013-04-12T22:29:56Z,IN,Healthcare
2016-08-31T13:07:00Z,NJ,Healthcare
2017-12-19T05:24:26.861Z,NJ,Healthcare
2013-04-12T22:29:56Z,VA,Healthcare
2013-04-12T22:29:56Z,NY,Healthcare
2016-09-07T19:47:00Z,MA,Healthcare
2013-04-12T22:29:56Z,MI,Healthcare
2013-02-19T23:44:33Z,AZ,Healthcare
2013-04-12T22:29:56Z,WA,Healthcare
2015-07-17T21:46:57Z,WA,Healthcare
2015-07-31T00:34:42Z,MI,Healthcare
2013-02-18T23:45:56Z,NY,Healthcare
2016-10-20T21:45:00Z,PA,Healthcare
2019-10-02T06:48:14.789Z,VA,Healthcare
2019-12-14T03:54:26.000Z,CT,Healthcare
2019-10-02T06:27:15.905Z,MN,Healthcare
2017-10-25T22:21:52.437Z,PA,Healthcare
2016-08-29T23:05:00Z,FL,Healthcare
2014-11-21T23:39:00Z,AZ,Healthcare
2014-06-13T18:26:00Z,WA,Healthcare
2014-05-16T16:14:00Z,PA,Healthcare
2016-02-08T03:22:00Z,PA,Healthcare
2013-04-12T22:29:56Z,SC,Healthcare
2015-07-30T22:43:14Z,GA,Healthcare
2018-08-08T18:39:39.441Z,MA,Healthcare
2018-10-18T20:06:42.580Z,TN,Healthcare
2017-10-05T01:16:54.819Z,FL,Healthcare
2015-07-17T23:41:45Z,TX,Healthcare
2014-08-18T02:17:00Z,CA,Healthcare
2013-04-12T22:29:56Z,NM,Healthcare
2017-12-05T07:56:39.783Z,NJ,Healthcare
2016-09-07T21:57:00Z,OH,Healthcare
2018-07-23T22:07:23.393Z,NJ,Healthcare
2017-10-24T07:20:22.149Z,CA,Healthcare
2013-09-10T20:13:32Z,FL,Healthcare
2023-11-18T01:42:54.036Z,TX,Healthcare
2016-10-19T15:20:00Z,TX,Healthcare
2016-08-02T16:49:00Z,NC,Healthcare
2013-09-24T19:20:00Z,TX,Healthcare
2013-04-12T22:29:56Z,TN,Healthcare
2013-04-12T22:29:56Z,TN,Healthcare
2016-08-16T15:22:00Z,TN,Healthcare
2020-10-02T16:40:42.972Z,OH,Healthcare
2015-07-24T14:01:00Z,CA,Healthcare
2013-08-20T17:36:47Z,OH,Healthcare
2013-08-04T22:53:06Z,NH,Healthcare
2018-01-01T12:40:32.674Z,OR,Healthcare
2015-03-03T04:22:04Z,NC,Healthcare
