plus.created,victim.state,victim.industry.name
2019-09-19T19:44:33.245Z,US-CA,Information
2013-12-27T17:19:00Z,NY,Information
2016-12-15T16:32:00Z,WA,Information
2022-02-22T07:56:33.620Z,CA,Information
2021-09-02T18:13:23.814Z,CA,Information
2013-02-23T03:29:56Z,CA,Information
2013-02-15T05:34:26Z,PA,Information
2017-01-28T02:33:00Z,CA,Information
2013-09-10T20:13:32Z,IL,Information
2020-09-14T23:30:25.363Z,NJ,Information
2018-08-31T19:53:36.681Z,SC,Information
2019-07-25T23:43:27.640Z,MA,Information
2013-02-19T15:01:39Z,FL,Information
2018-08-22T20:13:33.471Z,CA,Information
2013-09-12T14:16:00Z,BC,Information
2014-06-05T13:45:00Z,NY,Information
2019-09-02T05:15:29.747Z,CA,Information
2017-12-01T10:26:29.892Z,CO,Information
2014-02-13T03:56:35Z,CA,Information
2019-10-31T19:16:52.223Z,US-CA,Information
2013-09-10T20:13:32Z,GA,Information
2019-12-03T21:52:05.393Z,US-PA,Information
2019-01-10T02:05:52.833Z,MA,Information
2013-11-07T00:52:00Z,NY,Information
2013-04-09T19:13:25Z,CA,Information
2019-11-08T19:51:49.598Z,GB-LND,Information
2013-02-22T20:48:45Z,CA,Information
2021-02-19T02:45:31.931Z,CA,Information
2013-08-31T20:59:00Z,FL,Information
2016-09-06T17:16:00Z,NY,Information
2017-01-28T05:01:00Z,CA,Information
2014-08-18T02:32:00Z,WA,Information
2013-02-18T16:50:41Z,FL,Information
2017-10-05T05:19:43.078Z,IN,Information
2013-02-17T23:41:33Z,NY,Information
2013-02-09T05:24:48Z,TX,Information
2016-02-03T00:47:00Z,CA,Information
2018-02-07T03:24:06.626Z,CA,Information
2023-11-18T01:42:54.036Z,MD,Information
2017-01-28T02:14:00Z,CA,Information
2013-11-05T04:26:00Z,CA,Information
2014-05-23T15:07:00Z,NY,Information
2013-09-13T16:45:00Z,NY,Information
2014-12-01T13:47:43Z,CA,Information
2019-08-29T20:14:07.725Z,US-NY,Information
2023-11-18T01:42:54.036Z,KS,Information
2013-03-20T14:42:26Z,CA,Information
2013-02-21T05:02:36Z,CA,Information
2014-02-19T23:57:00Z,GA,Information
2016-02-07T00:19:00Z,AZ,Information
2018-09-28T20:55:19.265Z,MA,Information
2013-07-25T20:17:14Z,NY,Information
2017-01-27T22:34:00Z,CO,Information
2013-09-18T22:57:00Z,MO,Information
2019-09-12T19:48:01.176Z,MX-DF,Information
2014-10-22T14:50:00Z,CA,Information
2014-06-28T01:36:00Z,PA,Information
2013-02-16T22:31:30Z,CA,Information
2013-02-09T05:56:29Z,NH,Information
2019-10-01T19:31:36.500Z,US-CO,Information
2014-03-24T04:31:00Z,WA,Information
2013-09-10T20:13:32Z,NY,Information
2017-11-08T23:23:48.408Z,CA,Information
2018-09-18T20:59:05.038Z,CA,Information
2019-11-21T21:30:38.640Z,US-CA,Information
2019-11-26T01:42:03.222Z,FL,Information
2013-02-15T04:34:58Z,CA,Information
2021-11-16T00:02:41.005Z,PA,Information
2017-11-10T01:51:40.151Z,UT,Information
2018-08-22T20:59:08.869Z,CA,Information
2013-09-10T20:13:32Z,CA,Information
2013-09-10T20:13:32Z,CA,Information
2016-09-27T14:15:00Z,CA,Information
2013-07-10T23:31:01Z,MN,Information
2014-07-22T14:07:00Z,NY,Information
2021-11-09T19:16:16.949Z,FL,Information
2016-02-02T19:55:00Z,CA,Information
2013-10-19T05:29:00Z,CT,Information
2019-09-26T20:50:54.751Z,NZ-CAN,Information
2016-09-14T13:38:00Z,CA,Information
2016-09-27T19:52:00Z,CA,Information
2014-04-25T14:30:00Z,CA,Information
2019-09-12T23:50:50.366Z,GA,Information
2018-02-04T07:25:51.874Z,CA,Information
2013-03-20T14:59:17Z,WA,Information
2013-02-08T23:49:29Z,MD,Information
2013-02-19T19:58:52Z,IL,Information
2018-07-26T01:16:30.949Z,CA,Information
2016-09-09T12:25:00Z,WA,Information
2013-02-04T23:32:30Z,FL,Information
2014-02-07T04:23:30Z,CA,Information
2022-02-15T22:40:59.916Z,CA,Information
2013-09-12T23:20:00Z,KY,Information
2021-02-22T11:15:56.632Z,PA,Information
2014-05-16T20:16:00Z,AZ,Information
2016-01-28T11:59:00Z,TN,Information
2019-09-23T18:16:08.784Z,NY,Information
2013-09-10T20:13:32Z,CA,Information
2020-09-15T00:09:20.282Z,MA,Information
2014-06-05T19:48:00Z,NSW,Information
2021-08-31T19:14:48.422Z,KY,Information
2021-09-21T18:29:57.514Z,TX,Information
2014-08-18T00:38:00Z,ME,Information
2016-02-02T19:40:00Z,CA,Information
2014-07-08T14:17:00Z,CA,Information
2016-02-05T01:02:00Z,CA,Information
2021-02-11T23:31:52.059Z,CA,Information
2013-06-25T22:47:23Z,CA,Information
2013-02-23T04:09:01Z,CA,Information
2021-11-18T21:47:04.117Z,CA,Information
2014-04-01T14:13:00Z,WA,Information
2016-12-07T15:07:00Z,NC,Information
2014-01-13T13:34:00Z,CA,Information
2019-12-13T01:18:07.685Z,CA,Information
2013-11-11T17:58:00Z,NY,Information
2017-12-27T11:40:48.694Z,CA,Information
2013-02-08T23:13:03Z,NY,Information
2016-06-21T01:50:00Z,NY,Information
2021-02-20T01:30:50.344Z,PA,Information
2014-03-31T04:03:00Z,CA,Information
2013-05-09T20:01:14Z,IL,Information
2014-08-04T16:27:00Z,CA,Information
2017-11-16T00:40:09.794Z,CA,Information
