StateName,Number of Incidents,NAICS,Firms,Risk Factor,Normalized Risk Factor
CA,135,51.0,20806.0,0.090880171064294,100.0
NY,39,51.0,8749.0,0.011040018388220926,13.01609342002801
FL,16,51.0,6244.0,0.003232433881254776,4.509919789266567
TX,10,51.0,6039.0,0.001953942605791319,3.1170346063008534
WA,23,51.0,2584.0,0.001922946132594629,3.0832647018294965
VA,12,51.0,2151.0,0.0008351575847108052,1.8981455073336901
PA,9,51.0,2731.0,0.0007952633765150659,1.8546817367562562
MA,8,51.0,2414.0,0.0006248474847332662,1.669017763008207
GA,5,51.0,3050.0,0.0004934198499473028,1.525830548015882
CO,6,51.0,2410.0,0.00046785908395003263,1.4979827144747846
IL,4,51.0,3322.0,0.0004299385551540826,1.4566692196517899
NC,6,51.0,2174.0,0.0004220438375549257,1.4480681166340332
NJ,5,51.0,2263.0,0.0003661013509609004,1.387120136643455
MN,4,51.0,1666.0,0.00021561638557697214,1.2231704229730207
OR,4,51.0,1551.0,0.00020073290157856171,1.2069552287592171
UT,4,51.0,1457.0,0.00018856727117986098,1.193701070010543
AZ,3,51.0,1614.0,0.0001566648467832682,1.1589441537174774
TN,2,51.0,1686.0,0.00010910240878834786,1.1071260330777144
MD,2,51.0,1475.0,9.54484299898061e-05,1.0922503549076599
MO,2,51.0,1378.0,8.917148239047649e-05,1.0854117730000994
MI,1,51.0,2396.0,7.752353839172048e-05,1.0727216210066879
KY,3,51.0,793.0,7.697349659177922e-05,1.0721223638292212
IN,2,51.0,1142.0,7.38997335921075e-05,1.068773573719849
AL,2,51.0,867.0,5.610426359400806e-05,1.0493858415076927
KS,2,51.0,769.0,4.976260519468535e-05,1.0424767587557242
NH,3,51.0,482.0,4.678590839500326e-05,1.0392337199129635
NV,1,51.0,1161.0,3.7564619395988094e-05,1.0291873495848463
WI,1,51.0,1106.0,3.5785072396178154e-05,1.0272485763636305
CT,1,51.0,1064.0,3.4426145596323286e-05,1.0257680586310658
SC,1,51.0,915.0,2.9605190996838163e-05,1.0205157457226817
LA,1,51.0,770.0,2.491365799733922e-05,1.0154044345031132
ME,1,51.0,545.0,1.763369299811672e-05,1.0074730895072312
NM,1,51.0,451.0,1.4592285398441544e-05,1.0041595498200626
HI,1,51.0,333.0,1.07743481988493e-05,1.0
