plus.created,victim.state,victim.industry.name
2014-07-08T14:11:00Z,FL,Manufacturing
2021-09-13T18:41:37.298Z,CA,Manufacturing
2019-10-03T19:29:52.453Z,US-WI,Manufacturing
2016-09-06T18:55:00Z,CA,Manufacturing
2013-09-10T20:13:32Z,WI,Manufacturing
2013-09-30T14:30:00Z,IL,Manufacturing
2013-02-07T00:28:34Z,CA,Manufacturing
2016-01-06T03:04:04Z,GA,Manufacturing
2014-03-11T06:21:00Z,DE,Manufacturing
2018-08-16T23:02:19.114Z,NY,Manufacturing
2016-09-26T19:24:00Z,MA,Manufacturing
2014-03-18T13:59:00Z,OH,Manufacturing
2013-02-16T21:35:30Z,MA,Manufacturing
2018-08-15T23:20:33.538Z,NC,Manufacturing
2013-09-10T20:13:32Z,CA,Manufacturing
2018-07-18T21:14:45.576Z,CA,Manufacturing
2016-01-28T12:54:00Z,PA,Manufacturing
2016-10-21T12:54:00Z,KY,Manufacturing
2014-07-08T19:59:00Z,TX,Manufacturing
2014-07-25T15:12:00Z,CA,Manufacturing
2020-09-29T17:48:50.232Z,MD,Manufacturing
2016-02-09T13:09:00Z,CA,Manufacturing
2014-02-15T05:01:53Z,CA,Manufacturing
2021-11-18T22:47:00.149Z,CA,Manufacturing
2016-02-07T00:29:00Z,CA,Manufacturing
2016-10-07T15:22:00Z,NJ,Manufacturing
2014-09-30T15:51:00Z,NJ,Manufacturing
2013-02-08T04:07:20Z,CA,Manufacturing
2014-07-12T19:19:29Z,MI,Manufacturing
2013-02-17T23:28:52Z,NJ,Manufacturing
2013-08-23T16:32:39Z,CA,Manufacturing
2013-07-25T20:34:42Z,CA,Manufacturing
2013-02-22T16:34:28Z,NY,Manufacturing
2013-09-10T20:13:32Z,PA,Manufacturing
2013-02-07T18:17:07Z,OR,Manufacturing
2013-09-10T20:13:32Z,CA,Manufacturing
2021-09-07T17:37:04.590Z,PA,Manufacturing
2013-02-10T03:44:09Z,MD,Manufacturing
2016-10-12T23:31:00Z,AZ,Manufacturing
2016-07-03T05:00:00Z,VA,Manufacturing
2016-02-04T00:01:00Z,IL,Manufacturing
2013-02-08T17:17:42Z,CA,Manufacturing
2013-10-10T13:34:00Z,IN,Manufacturing
2013-09-10T20:13:32Z,NC,Manufacturing
2013-02-05T00:33:59Z,IL,Manufacturing
2013-02-20T19:06:14Z,NY,Manufacturing
2013-09-10T20:13:32Z,CA,Manufacturing
2014-08-06T21:21:00Z,CT,Manufacturing
2013-04-12T22:29:56Z,PA,Manufacturing
2013-08-06T21:28:05Z,MN,Manufacturing
2015-03-26T20:52:53Z,MN,Manufacturing
2014-10-14T15:42:00Z,MS,Manufacturing
2023-11-18T01:42:54.036Z,GA,Manufacturing
2014-07-12T19:19:29Z,CA,Manufacturing
2017-12-17T12:27:15.132Z,WI,Manufacturing
2013-09-10T20:13:32Z,IL,Manufacturing
2014-07-03T18:47:00Z,WA,Manufacturing
2015-07-22T22:50:59Z,UT,Manufacturing
2013-02-19T03:01:03Z,PA,Manufacturing
2013-02-07T18:46:06Z,NY,Manufacturing
2016-08-09T22:50:00Z,KS,Manufacturing
2013-07-11T23:28:07Z,MA,Manufacturing
2013-09-03T19:01:00Z,MN,Manufacturing
2018-07-26T00:47:15.953Z,MI,Manufacturing
2013-07-09T01:32:29Z,NY,Manufacturing
2013-02-22T16:48:41Z,NY,Manufacturing
2014-03-04T16:56:13Z,GA,Manufacturing
2014-07-12T19:19:29Z,VA,Manufacturing
2021-06-10T19:12:52.742Z,WI,Manufacturing
2013-08-22T00:03:46Z,NY,Manufacturing
2013-02-22T16:38:45Z,NY,Manufacturing
2021-02-19T02:32:07.143Z,GA,Manufacturing
2015-03-31T18:28:51Z,CA,Manufacturing
2014-03-11T06:37:00Z,IL,Manufacturing
2016-02-03T00:43:00Z,NC,Manufacturing
2023-11-18T01:42:54.036Z,NY,Manufacturing
2016-11-08T18:39:00Z,PA,Manufacturing
2023-11-18T01:42:54.036Z,CA,Manufacturing
2013-09-03T15:50:00Z,MA,Manufacturing
2013-02-22T16:24:02Z,NY,Manufacturing
2013-02-08T04:12:58Z,IL,Manufacturing
2017-01-28T03:56:00Z,CA,Manufacturing
2018-02-06T02:48:46.496Z,CA,Manufacturing
2016-09-15T16:32:00Z,CA,Manufacturing
2021-07-14T18:22:57.125Z,NC,Manufacturing
2013-04-29T18:56:17Z,IL,Manufacturing
2013-09-29T21:44:00Z,OH,Manufacturing
2014-05-03T05:27:00Z,CO,Manufacturing
2013-10-08T21:11:00Z,IL,Manufacturing
2013-09-10T20:13:32Z,IL,Manufacturing
2014-07-12T19:19:29Z,DE,Manufacturing
2013-02-19T05:24:08Z,IL,Manufacturing
2014-06-18T00:56:00Z,NY,Manufacturing
2013-08-23T00:23:09Z,VA,Manufacturing
2014-05-02T23:59:00Z,CA,Manufacturing
2013-07-05T18:31:02Z,CA,Manufacturing
2013-09-10T20:13:32Z,GA,Manufacturing
