plus.created,victim.state,victim.industry.name
2013-04-12T22:29:56Z,LA,Professional
2016-02-05T14:10:00Z,CA,Professional
2013-02-22T15:37:17Z,CA,Professional
2013-02-11T18:12:07Z,CA,Professional
2016-10-19T19:09:00Z,GA,Professional
2013-08-21T23:26:01Z,AZ,Professional
2016-08-24T00:10:00Z,NC,Professional
2021-08-30T18:38:00.070Z,MO,Professional
2016-10-25T19:04:00Z,MI,Professional
2021-02-19T21:37:56.092Z,PA,Professional
2017-10-26T14:33:50Z,WA,Professional
2016-09-14T14:09:00Z,CT,Professional
2016-08-24T23:57:00Z,CA,Professional
2014-09-22T16:35:00Z,NY,Professional
2013-05-24T21:09:24Z,LA,Professional
2013-02-11T17:05:56Z,NY,Professional
2017-10-25T21:03:51.816Z,MN,Professional
2014-01-31T20:43:00Z,BC,Professional
2016-08-04T14:53:00Z,TX,Professional
2020-09-29T17:36:04.275Z,CA,Professional
2020-10-06T18:31:57.786Z,NJ,Professional
2013-02-11T23:09:56Z,CA,Professional
2015-03-31T18:03:38Z,CA,Professional
2020-10-26T19:11:00.325Z,MA,Professional
2013-04-12T22:29:56Z,TX,Professional
2016-07-19T12:56:00Z,CA,Professional
2023-11-18T01:42:54.036Z,MN,Professional
2020-11-25T19:34:15.838Z,NJ,Professional
2021-06-10T18:44:40.839Z,NY,Professional
2013-04-29T20:43:11Z,DC,Professional
2019-09-23T21:35:30.607Z,CO,Professional
2014-07-22T14:26:00Z,IL,Professional
2013-09-16T02:14:00Z,CA,Professional
2021-07-16T20:48:49.491Z,NC,Professional
2016-11-01T18:20:00Z,WI,Professional
2014-07-16T18:04:00Z,CA,Professional
2016-09-27T16:36:00Z,VA,Professional
2013-08-22T00:47:48Z,NY,Professional
2020-07-27T23:13:10.803Z,FL,Professional
2013-08-23T00:34:19Z,VA,Professional
2014-03-31T14:25:00Z,NC,Professional
2016-09-27T13:16:00Z,NY,Professional
2013-09-10T20:13:32Z,CA,Professional
2013-03-13T15:58:09Z,CA,Professional
2018-08-15T20:29:52.305Z,ME,Professional
2013-11-06T15:14:00Z,CA,Professional
2014-04-24T17:02:00Z,CA,Professional
2017-10-24T06:59:41.436Z,VA,Professional
2018-07-18T17:38:18.260Z,NY,Professional
2016-09-07T00:56:00Z,CA,Professional
2013-04-09T18:01:19Z,KY,Professional
2014-11-20T21:19:00Z,PA,Professional
2016-09-06T13:22:00Z,CA,Professional
2017-10-24T06:29:45.963Z,FL,Professional
2013-07-18T00:14:28Z,GA,Professional
2023-11-18T01:42:54.036Z,AZ,Professional
2017-10-24T06:24:31.751Z,NJ,Professional
2013-09-10T20:13:32Z,NM,Professional
2021-09-23T18:22:42.733Z,CA,Professional
2020-11-09T18:44:16.988Z,UT,Professional
2015-07-16T21:35:35Z,FL,Professional
2016-09-15T17:28:00Z,NM,Professional
2014-10-30T19:41:00Z,MA,Professional
2020-11-02T18:27:31.201Z,MA,Professional
2018-02-03T05:22:06.180Z,CA,Professional
2020-06-02T19:49:50.013Z,CA,Professional
2016-07-03T04:53:00Z,AZ,Professional
2016-10-18T13:51:00Z,WI,Professional
2015-04-22T21:51:00Z,FL,Professional
2016-09-21T13:14:00Z,AZ,Professional
2023-11-18T01:42:54.036Z,CA,Professional
2015-08-13T21:51:00Z,CA,Professional
2016-09-26T13:31:00Z,CA,Professional
