plus.created,victim.state,victim.industry.name
2019-09-10T20:01:13.301Z,US-WV,Public
2014-05-29T20:01:01Z,LA,Public
2014-11-24T16:59:31Z,VA,Public
2014-11-24T16:59:31Z,OR,Public
2013-04-05T21:43:47Z,CA,Public
2018-07-12T21:40:20.215Z,TX,Public
2016-09-19T17:16:00Z,GA,Public
2014-07-30T19:04:07Z,MO,Public
2014-05-29T20:01:01Z,MS,Public
2013-02-19T16:13:29Z,DC,Public
2014-05-29T20:01:01Z,IL,Public
2014-02-17T04:35:21Z,ga,Public
2014-11-24T16:59:31Z,MN,Public
2014-02-21T04:07:15Z,FL,Public
2013-12-16T14:26:00Z,VA,Public
2017-10-17T22:38:58.383Z,CA,Public
2014-11-24T16:59:31Z,NE,Public
2017-10-24T06:05:44.267Z,FL,Public
2013-02-17T01:17:09Z,CA,Public
2018-09-27T20:36:15.239Z,VA,Public
2016-01-13T15:02:00Z,OR,Public
2014-11-24T16:59:31Z,NE,Public
2014-02-21T04:07:15Z,CT,Public
2014-07-30T19:04:07Z,TX,Public
2013-11-09T19:34:00Z,FL,Public
2015-03-25T22:28:06Z,NC,Public
2014-02-21T04:07:15Z,PA,Public
2017-10-26T14:33:48Z,GA,Public
2013-06-04T17:55:09Z,AL,Public
2014-07-30T19:04:08Z,MO,Public
2016-02-10T07:07:18Z,MI,Public
2016-02-10T07:07:18Z,NH,Public
2014-11-24T16:59:31Z,NE,Public
2014-11-24T16:59:31Z,FL,Public
2013-12-11T20:13:34Z,MA,Public
2014-05-29T20:01:01Z,OH,Public
2014-11-24T16:59:31Z,MN,Public
2013-09-06T20:09:00Z,GA,Public
2014-05-29T20:01:01Z,WI,Public
2015-01-07T16:32:21Z,OK,Public
2019-08-15T23:40:00.980Z,CA,Public
2014-05-29T20:01:01Z,WI,Public
2014-11-24T16:59:31Z,NE,Public
2013-04-29T20:55:41Z,NH,Public
2016-07-03T04:38:00Z,AL,Public
2015-07-24T14:01:00Z,MO,Public
2014-02-21T04:07:15Z,CA,Public
2014-02-21T04:07:15Z,CT,Public
2017-10-26T20:36:54.108Z,D.C,Public
2023-11-18T01:42:54.036Z,OR,Public
2014-11-24T16:59:31Z,NE,Public
2013-09-10T20:13:32Z,OH,Public
2020-10-15T01:31:15.726Z,IT-62,Public
2014-09-23T17:02:00Z,VA,Public
2014-02-21T04:07:15Z,TX,Public
2014-05-29T20:01:01Z,FL,Public
2016-07-13T01:39:00Z,NM,Public
2014-07-30T19:04:07Z,MO,Public
2022-02-15T18:47:49.018Z,NC,Public
2014-08-22T15:53:00Z,MO,Public
2017-11-08T20:12:37.030Z,MS,Public
2014-11-24T16:59:31Z,NE,Public
2014-07-30T19:04:07Z,PA,Public
2016-02-10T07:07:18Z,SC,Public
2014-07-30T19:04:07Z,MO,Public
2013-09-10T20:13:32Z,IA,Public
2016-08-31T13:34:00Z,MN,Public
2014-02-21T04:07:15Z,OR,Public
2014-07-30T19:04:08Z,CO,Public
2013-09-10T20:13:32Z,CA,Public
2020-05-29T02:22:20.754Z,DC,Public
2013-08-19T16:12:23Z,AL,Public
2014-11-21T07:04:00Z,CA,Public
2014-11-24T16:59:31Z,SD,Public
2017-10-26T14:33:49Z,WV,Public
2013-04-12T22:29:56Z,VA,Public
2014-03-24T04:37:00Z,DC,Public
2014-07-30T19:04:08Z,WV,Public
2014-02-21T04:07:15Z,FL,Public
2014-07-30T19:04:07Z,LA,Public
2016-02-09T02:26:00Z,DC,Public
2013-09-10T20:13:32Z,DC,Public
2014-02-21T04:07:15Z,MD,Public
2014-05-29T20:01:01Z,FL,Public
2014-07-11T17:57:00Z,DC,Public
2014-02-21T04:07:15Z,ME,Public
2015-07-24T14:01:00Z,TN,Public
2014-11-24T16:59:31Z,SD,Public
2014-07-30T19:04:08Z,NY,Public
2014-07-30T19:04:07Z,KS,Public
2016-02-10T07:07:18Z,CO,Public
2015-03-05T05:07:45Z,DC,Public
2013-02-22T05:21:56Z,OH,Public
2014-07-30T19:04:07Z,LA,Public
2013-04-12T22:29:56Z,KY,Public
2014-07-30T19:04:07Z,OH,Public
2016-01-28T08:40:00Z,KS,Public
2014-11-12T20:30:00Z,NE,Public
2014-05-29T20:01:01Z,MI,Public
2013-04-12T22:29:56Z,CA,Public
2014-10-01T16:03:00Z,SD,Public
2016-02-10T07:07:18Z,AR,Public
2016-02-10T07:07:18Z,NC,Public
2013-04-12T22:29:56Z,CA,Public
2016-09-21T18:25:00Z,MA,Public
2014-07-30T19:04:07Z,MO,Public
2013-11-10T20:50:00Z,FL,Public
2016-02-02T17:14:00Z,MA,Public
2015-07-24T14:01:00Z,TN,Public
2014-05-29T20:01:01Z,TX,Public
2019-10-15T20:11:54.840Z,US-MA,Public
2013-09-18T15:25:00Z,UT,Public
2014-07-30T19:04:07Z,KS,Public
2014-07-30T19:04:08Z,LA,Public
2014-02-21T04:07:15Z,NV,Public
2014-07-30T19:04:07Z,NY,Public
2016-09-21T18:32:00Z,WA,Public
2014-11-24T16:59:31Z,MN,Public
2016-02-10T07:07:18Z,NC,Public
2016-02-04T21:06:00Z,DC,Public
2014-07-30T19:04:08Z,OK,Public
2014-02-21T04:07:15Z,OR,Public
2013-02-20T05:23:54Z,RI,Public
2014-07-30T19:04:08Z,MA,Public
2014-02-21T04:07:15Z,ME,Public
2016-10-20T21:26:00Z,DC,Public
2013-02-19T04:19:18Z,CA,Public
2016-02-02T03:44:00Z,UT,Public
2014-05-27T14:01:00Z,VA,Public
2014-05-29T20:01:01Z,MO,Public
2016-02-10T07:07:18Z,FL,Public
2014-07-30T19:04:07Z,AR,Public
2014-07-18T23:27:00Z,DC,Public
2015-03-06T23:37:43Z,WV,Public
2014-06-28T00:39:00Z,AZ,Public
2014-05-29T20:01:01Z,SC,Public
2014-02-21T04:07:15Z,CT,Public
2014-07-30T19:04:08Z,PA,Public
2014-02-21T04:07:15Z,NM,Public
2014-02-17T22:52:00Z,IL,Public
2014-02-21T04:07:15Z,MA,Public
2013-12-16T17:48:00Z,CA,Public
2020-08-16T12:49:56.577Z,NY,Public
2014-07-30T19:04:08Z,NH,Public
2014-07-30T19:04:07Z,OK,Public
2014-07-30T19:04:08Z,LA,Public
2016-02-10T07:07:18Z,DC,Public
2014-02-21T04:07:15Z,NY,Public
2016-10-19T13:00:00Z,DC,Public
2014-11-24T16:59:31Z,OR,Public
2014-05-29T20:01:01Z,OH,Public
2014-03-24T03:54:00Z,CA,Public
2016-02-10T07:07:18Z,AZ,Public
2013-08-25T21:47:39Z,MD,Public
2013-06-29T04:58:21Z,DC,Public
2014-05-29T20:01:01Z,OH,Public
