plus.created,victim.state,victim.industry.name
2016-09-09T19:01:00Z,NJ,Retail
2013-08-22T21:15:19Z,CA,Retail
2013-02-12T16:04:20Z,OR,Retail
2016-09-15T19:59:00Z,IN,Retail
2013-11-11T18:07:00Z,FL,Retail
2016-02-01T14:06:00Z,CO,Retail
2014-11-12T14:17:00Z,FL,Retail
2016-09-26T15:27:00Z,NJ,Retail
2017-11-09T21:15:19.926Z,TN,Retail
2017-10-17T19:04:27.529Z,VA,Retail
2015-07-24T14:01:00Z,NY,Retail
2015-04-22T18:32:00Z,VA,Retail
2013-02-19T02:01:06Z,IL,Retail
2016-07-07T23:48:00Z,TN,Retail
2020-10-24T02:09:15.814Z,BR-SP,Retail
2013-02-12T19:17:15Z,NY,Retail
2020-10-16T21:19:57.953Z,MA,Retail
2014-03-07T17:38:00Z,MD,Retail
2015-03-27T00:25:35Z,PA,Retail
2016-11-28T13:11:00Z,IN,Retail
2017-10-25T22:48:01.597Z,NC,Retail
2016-11-11T19:06:00Z,PA,Retail
2014-10-30T17:57:00Z,GA,Retail
2019-12-03T21:38:07.957Z,JP-13,Retail
2019-11-14T21:55:02.084Z,"US-IA,US-IL,US-KS,US-MN,US-MO,US-NE,US-SD,US-WI",Retail
2020-11-12T01:18:00.547Z,CA,Retail
2014-02-16T03:03:10Z,ME,Retail
2017-10-17T18:25:18.251Z,Indiana,Retail
2017-10-26T14:33:48Z,AL,Retail
2015-07-24T14:01:00Z,IL,Retail
2017-10-25T18:03:13.652Z,FL,Retail
2016-10-27T23:23:00Z,NY,Retail
2013-02-06T22:24:25Z,MA,Retail
2013-02-13T18:34:43Z,MO,Retail
2016-02-07T22:15:00Z,MD,Retail
2017-11-30T11:51:33.093Z,AL,Retail
2014-08-24T04:24:00Z,CO,Retail
2019-09-12T23:17:51.129Z,FL,Retail
2013-09-24T16:33:00Z,AZ,Retail
2016-10-17T19:28:00Z,FL,Retail
2020-11-03T01:23:15.705Z,NY,Retail
2015-07-24T14:01:00Z,NY,Retail
2016-09-20T14:02:00Z,OH,Retail
2016-09-14T13:54:00Z,OH,Retail
2015-03-03T23:21:46Z,MD,Retail
2017-10-25T22:31:18.916Z,CT,Retail
2016-10-17T19:54:00Z,NH,Retail
2013-10-11T13:44:00Z,FL,Retail
2019-09-17T06:23:50.378Z,FL,Retail
2017-11-14T20:46:25.603Z,MI,Retail
2015-07-24T14:01:00Z,NY,Retail
2013-11-17T21:29:00Z,VT,Retail
2015-07-30T23:49:18Z,OH,Retail
2014-11-21T21:17:00Z,AZ,Retail
2014-09-04T17:13:00Z,IL,Retail
2019-10-17T19:52:31.970Z,US-PA,Retail
2013-10-30T13:46:00Z,CA,Retail
2016-09-26T16:18:00Z,VA,Retail
2016-08-30T17:37:00Z,AR,Retail
2013-08-22T21:48:06Z,MA,Retail
